,trustfam,nofriend,placesize,socprof,trustneigh,workab,id_hash,ls,region,wkabint,ymarr,smoke,age,emcc,ysepdiv,agegr,trust,mmarr,marital,unempdur,alcsol,sport,msepdiv,sex,wkabintdur,nociga,englang,eduspec,edu
722,YES,10,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8bde580>,PLEASED,Wielkopolskie,NO,1979.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
723,YES,10,RURAL AREAS,PUPIL OR STUDENT,YES,NO,<sha256 HASH object @ 0x7f6ca8bde5a8>,MOSTLY SATISFIED,Lubelskie,NO,2010.0,NO,22,,,16-24,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,-8,NO,NO,,1,,-8,ACTIVE,services for the population and transport services,VOCATIONAL/GRAMMAR
724,YES,30,"URBAN 100,000-200,000",UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8bde5d0>,MIXED,Zachodnio-pomorskie,NO,1977.0,NO,55,,2008.0,45-59,ONE CAN`T BE TOO CAREFUL,9.0,WIDOWED,-8,NO,YES,9.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
725,YES,0,RURAL AREAS,FARMER,NO,NO,<sha256 HASH object @ 0x7f6ca8bde5f8>,DELIGHTED,Pomorskie,NO,1996.0,NO,37,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
726,NO OPINION,5,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bde620>,MOSTLY DISSATISFIED,Mazowieckie,NO,1990.0,NO,48,,2004.0,45-59,ONE CAN`T BE TOO CAREFUL,9.0,WIDOWED,0,NO,NO,10.0,1,,-8,NONE,physical sciences,SECONDARY
727,YES,6,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bde648>,PLEASED,Opolskie,NO,1996.0,NO,36,,,35-44,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,12,NO,NO,,1,,-8,PASSIVE,economy and administration,SECONDARY
728,YES,4,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,YES,YES,<sha256 HASH object @ 0x7f6ca8bde670>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,2000.0,NO,36,,2006.0,35-44,ONE CAN`T BE TOO CAREFUL,4.0,DIVORCED,0,NO,YES,5.0,1,,-8,ACTIVE,biological sciences,POST-SECONDARY OR HIGHER
729,YES,2,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde698>,MOSTLY SATISFIED,Podkarpackie,NO,1971.0,NO,60,,,60-64,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,SECONDARY
730,YES,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bde6c0>,MOSTLY DISSATISFIED,Lodzkie,NO,2007.0,NO,30,,2009.0,25-34,ONE CAN`T BE TOO CAREFUL,10.0,LEGALLY SEPARATED,-8,YES,YES,7.0,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
731,YES,15,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bde6e8>,MOSTLY SATISFIED,Podkarpackie,NO,1981.0,NO,53,,,45-59,IT`S DIFFICULT TO TELL,6.0,MARRIED,-8,NO,YES,,1,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
732,YES,2,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde710>,MIXED,Dolnoslaskie,NO,1969.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
733,YES,5,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bde738>,MIXED,Warminsko-mazurskie,NO,1991.0,YES,52,,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,-8,NO,YES,,2,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
734,YES,6,"URBAN 100,000-200,000",LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bde760>,MOSTLY SATISFIED,Slaskie,NO,1977.0,NO,58,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
735,YES,20,"URBAN 200,000-500,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde788>,MOSTLY SATISFIED,Slaskie,NO,2010.0,NO,33,,,25-34,MOST PEOPLE CAN BE TRUSTED,9.0,MARRIED,0,NO,NO,,2,,-8,ACTIVE,liberal arts,POST-SECONDARY OR HIGHER
736,YES,6,RURAL AREAS,FARMER,YES,NO,<sha256 HASH object @ 0x7f6ca8bde7b0>,MIXED,Lubelskie,NO,1986.0,NO,57,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,-8,NO,YES,,2,,-8,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
737,YES,10,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bde7d8>,MOSTLY SATISFIED,Lodzkie,NO,2000.0,YES,39,,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,NO,,2,,10,PASSIVE,technical science,POST-SECONDARY OR HIGHER
738,YES,5,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde800>,MOSTLY SATISFIED,Slaskie,NO,1979.0,NO,63,,,60-64,IT`S DIFFICULT TO TELL,1.0,MARRIED,0,NO,YES,,2,,-8,NONE,production and processing,SECONDARY
739,YES,3,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bde828>,MOSTLY DISSATISFIED,Swietokrzyskie,NO,1984.0,NO,45,,,45-59,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,-8,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
740,NO,3,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bde850>,PLEASED,Zachodnio-pomorskie,NO,2001.0,NO,30,,,25-34,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,-8,NO,YES,,2,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
741,YES,6,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bde878>,PLEASED,Pomorskie,NO,1987.0,NO,53,,,45-59,MOST PEOPLE CAN BE TRUSTED,10.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
742,YES,3,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde8a0>,MOSTLY SATISFIED,Pomorskie,NO,1965.0,NO,74,,1981.0,65+,IT`S DIFFICULT TO TELL,8.0,WIDOWED,0,NO,YES,11.0,1,,-8,NONE,not applicable,PRIMARY/NO EDUCATION
743,YES,8,"URBAN 100,000-200,000",OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8bde8c8>,MIXED,Lubelskie,NO,2009.0,NO,38,,,35-44,ONE CAN`T BE TOO CAREFUL,3.0,MARRIED,24,NO,YES,,1,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
744,YES,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bde8f0>,PLEASED,Malopolskie,NO,2001.0,NO,33,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,technical science,SECONDARY
745,YES,6,"URBAN 200,000-500,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bde918>,PLEASED,Slaskie,NO,1999.0,NO,35,,,35-44,MOST PEOPLE CAN BE TRUSTED,1.0,MARRIED,0,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
746,YES,14,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde940>,PLEASED,Opolskie,NO,1981.0,NO,53,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,24,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
747,YES,4,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde968>,MIXED,Lubelskie,NO,1977.0,YES,63,,,60-64,MOST PEOPLE CAN BE TRUSTED,1.0,MARRIED,0,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
748,YES,5,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bde990>,MOSTLY SATISFIED,Lubelskie,NO,1993.0,NO,38,,,35-44,IT`S DIFFICULT TO TELL,9.0,MARRIED,-8,NO,NO,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
749,YES,7,"URBAN 100,000-200,000",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8bde9b8>,MOSTLY SATISFIED,Wielkopolskie,NO,1967.0,NO,68,,,65+,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
750,YES,6,"URBAN 20,000-100,000",LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bde9e0>,PLEASED,Slaskie,NO,1962.0,NO,66,,,65+,MOST PEOPLE CAN BE TRUSTED,11.0,MARRIED,24,NO,NO,,2,,-8,NONE,environmental protection,SECONDARY
751,YES,4,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdea08>,MOSTLY SATISFIED,Slaskie,NO,1982.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,SECONDARY
752,YES,12,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdea30>,PLEASED,Zachodnio-pomorskie,NO,1987.0,NO,51,,,45-59,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,0,NO,YES,,1,,-8,NONE,pedagogics,POST-SECONDARY OR HIGHER
753,YES,6,RURAL AREAS,UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdea58>,MOSTLY SATISFIED,Lodzkie,NO,1995.0,YES,41,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,9,NO,YES,,2,,15,NONE,technical science,VOCATIONAL/GRAMMAR
754,YES,1,RURAL AREAS,FARMER,NO,NO,<sha256 HASH object @ 0x7f6ca8bdea80>,PLEASED,Warminsko-mazurskie,NO,1981.0,NO,57,,2000.0,45-59,ONE CAN`T BE TOO CAREFUL,4.0,WIDOWED,-8,NO,YES,5.0,1,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
755,YES,0,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdeaa8>,PLEASED,Zachodnio-pomorskie,NO,1985.0,NO,50,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,10,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
756,YES,2,"URBAN 20,000-100,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bdead0>,MOSTLY DISSATISFIED,Zachodnio-pomorskie,NO,1990.0,YES,40,,2010.0,35-44,ONE CAN`T BE TOO CAREFUL,7.0,LEGALLY SEPARATED,0,NO,YES,6.0,2,,40,NONE,technical science,SECONDARY
757,NO,3,RURAL AREAS,UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8bdeaf8>,MOSTLY DISSATISFIED,Pomorskie,NO,2007.0,YES,29,,,25-34,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,YES,,1,,15,NONE,technical science,VOCATIONAL/GRAMMAR
758,YES,10,"URBAN BELOW 20,000",LONG-TERM SICK/DISABLED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdeb20>,MIXED,Kujawsko-pomorskie,NO,2010.0,NO,57,,,45-59,IT`S DIFFICULT TO TELL,4.0,MARRIED,0,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
759,YES,5,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdeb48>,MOSTLY SATISFIED,Lubelskie,NO,1957.0,NO,77,,1995.0,65+,ONE CAN`T BE TOO CAREFUL,12.0,WIDOWED,-8,NO,YES,10.0,1,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
760,YES,4,RURAL AREAS,UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8bdeb70>,PLEASED,Lodzkie,NO,2001.0,YES,29,,,25-34,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,18,NO,YES,,1,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
761,YES,10,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdeb98>,MOSTLY SATISFIED,Wielkopolskie,NO,1961.0,YES,71,,,65+,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,YES,,1,,20,NONE,other,VOCATIONAL/GRAMMAR
762,YES,7,"URBAN 500,000 AND OVER",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdebc0>,MOSTLY SATISFIED,Malopolskie,NO,1967.0,NO,59,,,45-59,MOST PEOPLE CAN BE TRUSTED,4.0,MARRIED,-8,NO,NO,,1,,-8,ACTIVE,services for the population and transport services,POST-SECONDARY OR HIGHER
763,YES,1,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bdebe8>,PLEASED,Dolnoslaskie,NO,2003.0,NO,38,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,veterinary medicine,POST-SECONDARY OR HIGHER
764,YES,2,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdec10>,MIXED,Malopolskie,NO,1975.0,NO,59,,1978.0,45-59,ONE CAN`T BE TOO CAREFUL,10.0,DIVORCED,-8,,YES,6.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
765,YES,6,RURAL AREAS,SELF-EMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8bdec38>,MOSTLY SATISFIED,Mazowieckie,NO,1972.0,YES,60,,,60-64,MOST PEOPLE CAN BE TRUSTED,11.0,MARRIED,18,NO,NO,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
766,YES,3,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdec60>,MOSTLY SATISFIED,Mazowieckie,NO,1959.0,NO,79,,1993.0,65+,ONE CAN`T BE TOO CAREFUL,9.0,WIDOWED,0,NO,YES,5.0,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
767,YES,3,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdec88>,MIXED,Wielkopolskie,NO,1981.0,YES,53,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
768,YES,10,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdecb0>,MOSTLY SATISFIED,Kujawsko-pomorskie,NO,1976.0,NO,57,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,NO,,2,,-8,PASSIVE,technical science,VOCATIONAL/GRAMMAR
769,YES,2,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdecd8>,MOSTLY SATISFIED,Opolskie,NO,1980.0,NO,52,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,24,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
770,YES,10,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bded00>,MIXED,Wielkopolskie,NO,1978.0,NO,62,,2005.0,60-64,ONE CAN`T BE TOO CAREFUL,5.0,WIDOWED,0,NO,YES,6.0,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
771,YES,1,"URBAN 500,000 AND OVER",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bded28>,MOSTLY SATISFIED,Lodzkie,NO,1993.0,YES,48,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,,10,NONE,technical science,POST-SECONDARY OR HIGHER
772,YES,8,"URBAN 200,000-500,000",SELF-EMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bded50>,PLEASED,Kujawsko-pomorskie,NO,2001.0,NO,33,,,25-34,MOST PEOPLE CAN BE TRUSTED,12.0,MARRIED,0,NO,NO,,1,,-8,ACTIVE,pedagogics,POST-SECONDARY OR HIGHER
773,YES,3,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bded78>,PLEASED,Podkarpackie,"YES, TO EU COUNTRY",1981.0,NO,53,GERMANY,,45-59,IT`S DIFFICULT TO TELL,10.0,MARRIED,0,NO,YES,,1,IT DEPENDS,-8,NONE,technical science,VOCATIONAL/GRAMMAR
774,YES,2,"URBAN 500,000 AND OVER",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdeda0>,MOSTLY SATISFIED,Lodzkie,NO,1969.0,NO,65,,,65+,MOST PEOPLE CAN BE TRUSTED,10.0,MARRIED,24,NO,YES,,1,,-8,NONE,social sciences,POST-SECONDARY OR HIGHER
775,YES,12,RURAL AREAS,LONG-TERM SICK/DISABLED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdedc8>,MIXED,Opolskie,NO,1976.0,NO,58,,,45-59,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,14,NO,YES,,2,,-8,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
776,YES,4,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdedf0>,PLEASED,Swietokrzyskie,NO,1944.0,NO,89,,2004.0,65+,ONE CAN`T BE TOO CAREFUL,4.0,WIDOWED,24,NO,YES,11.0,1,,-8,NONE,services for the population and transport services,SECONDARY
777,YES,2,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdee18>,PLEASED,Warminsko-mazurskie,NO,1993.0,NO,40,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,2,,-8,NONE,pedagogics,POST-SECONDARY OR HIGHER
778,YES,10,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bdee40>,MOSTLY SATISFIED,Malopolskie,NO,1990.0,NO,44,,,35-44,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
779,YES,10,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdee68>,PLEASED,Podkarpackie,NO,1987.0,NO,47,,,45-59,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
780,YES,20,"URBAN 500,000 AND OVER",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdee90>,PLEASED,Lodzkie,NO,1969.0,YES,64,,,60-64,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,24,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
781,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdeeb8>,PLEASED,Malopolskie,NO,1963.0,NO,71,,2007.0,65+,IT`S DIFFICULT TO TELL,6.0,WIDOWED,-8,NO,YES,2.0,1,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
782,YES,6,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8bdeee0>,PLEASED,Malopolskie,NO,1971.0,YES,61,,,60-64,IT`S DIFFICULT TO TELL,7.0,MARRIED,-8,NO,YES,,1,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
783,YES,10,"URBAN 100,000-200,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdef08>,PLEASED,Slaskie,NO,1984.0,NO,66,,,65+,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,0,NO,NO,,1,,-8,NONE,law,POST-SECONDARY OR HIGHER
784,YES,0,"URBAN BELOW 20,000",OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8bdef30>,MIXED,Wielkopolskie,NO,2008.0,NO,29,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,economy and administration,POST-SECONDARY OR HIGHER
785,YES,2,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bdef58>,MOSTLY SATISFIED,Lubelskie,NO,2008.0,NO,37,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,public health,POST-SECONDARY OR HIGHER
786,YES,5,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdef80>,MIXED,Malopolskie,NO,1991.0,YES,49,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,2,,20,NONE,production and processing,VOCATIONAL/GRAMMAR
787,YES,3,"URBAN 100,000-200,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdefa8>,PLEASED,Opolskie,NO,1971.0,YES,61,,,60-64,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,24,NO,YES,,1,,20,NONE,technical science,SECONDARY
788,YES,6,"URBAN BELOW 20,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdefd0>,PLEASED,Warminsko-mazurskie,NO,1984.0,NO,54,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,NO,,2,,-8,NONE,healthcare,SECONDARY
789,YES,7,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf030>,MIXED,Malopolskie,NO,1978.0,YES,63,,,60-64,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,YES,,2,,20,ACTIVE,technical science,POST-SECONDARY OR HIGHER
790,YES,15,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf058>,PLEASED,Wielkopolskie,NO,2006.0,NO,34,,,25-34,MOST PEOPLE CAN BE TRUSTED,5.0,MARRIED,0,NO,NO,,2,,-8,PASSIVE,law,POST-SECONDARY OR HIGHER
791,YES,8,"URBAN 500,000 AND OVER",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdf080>,PLEASED,Malopolskie,NO,1976.0,NO,60,,,60-64,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,-8,NO,YES,,1,,-8,NONE,,VOCATIONAL/GRAMMAR
792,YES,7,"URBAN 500,000 AND OVER",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8bdf0a8>,PLEASED,Lodzkie,NO,1975.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,liberal arts,POST-SECONDARY OR HIGHER
793,YES,-8,"URBAN BELOW 20,000",UNEMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf0d0>,MOSTLY SATISFIED,Swietokrzyskie,NO,1975.0,NO,58,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,8,NO,NO,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
794,YES,5,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf0f8>,PLEASED,Kujawsko-pomorskie,NO,1975.0,NO,61,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,-8,NO,YES,,1,,-8,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
795,YES,2,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf120>,PLEASED,Kujawsko-pomorskie,NO,2008.0,NO,24,,,16-24,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,1,,-8,PASSIVE,"agriculture, forestry, fishing",SECONDARY
796,YES,4,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf148>,PLEASED,Warminsko-mazurskie,NO,2002.0,YES,30,,,25-34,MOST PEOPLE CAN BE TRUSTED,10.0,MARRIED,0,NO,YES,,1,,5,NONE,no specialisation,PRIMARY/NO EDUCATION
797,YES,5,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf170>,MOSTLY SATISFIED,Lubelskie,NO,1969.0,NO,69,,,65+,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
798,YES,5,"URBAN BELOW 20,000",UNEMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdf198>,MIXED,Mazowieckie,NO,1988.0,NO,51,,,45-59,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
799,YES,8,"URBAN BELOW 20,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8bdf1c0>,PLEASED,Podkarpackie,NO,1970.0,YES,60,,,60-64,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,-8,NO,YES,,1,,10,NONE,"agriculture, forestry, fishing",VOCATIONAL/GRAMMAR
800,YES,6,RURAL AREAS,SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8bdf1e8>,MOSTLY SATISFIED,Zachodnio-pomorskie,NO,1975.0,YES,61,,,60-64,ONE CAN`T BE TOO CAREFUL,3.0,MARRIED,0,NO,YES,,2,,15,NONE,"agriculture, forestry, fishing",SECONDARY
